,VOLUME_SESSION,AVG_J_S,Rech_Moy,MNT_FORFAIT_DATA,NB_JOUR_ACT_IN,revenu_cdr,P_revenu_data,P_FF_Journalier,P_FF_mensuel,P_N_Rech_sup5,Evolution volume session,Evolution rech_moy,pca_clusters
2976,0.0,3.07,1.0,0.0,21.333000000000002,2.95,0.0,0.0,0.0,0.0,0,0,0
2978,0.0,0.0,4.48,0.0,29.333000000000002,17.16,0.0,0.0,0.0,0.89,0,0,0
2979,0.0,0.0,1.33,0.0,28.333000000000002,10.65,0.0,0.0,0.0,0.09,0,0,0
2980,0.0,0.0,3.16,0.6,28.666999999999998,11.48,0.05,0.17,0.0,0.62,0,0,0
2981,0.0,10.89,1.45,0.15,24.833000000000002,1.22,0.35,0.17,0.0,0.08,0,0,0
2982,0.0,0.0,3.48,0.0,24.333000000000002,12.99,0.0,0.0,0.0,0.5,0,0,2
2983,1.5,1.22,1.16,0.04,25.666999999999998,4.5,0.01,0.17,0.0,0.06,0,0,0
2984,0.0,0.33,1.33,0.0,27.0,5.76,0.0,0.0,0.0,0.12,0,0,0
2985,0.0,0.0,2.23,0.0,28.5,9.05,0.0,0.0,0.0,0.32,0,0,1
2986,4142.09,0.0,1.44,3.07,30.0,9.97,0.63,1.0,0.0,0.13,-1200,0,1
2987,0.0,0.0,3.67,0.0,29.0,11.09,0.0,0.0,0.0,0.62,0,0,0
2988,0.07,0.0,5.0,0.0,30.0,20.32,0.0,0.0,0.0,1.0,0,0,1
2989,145.31,0.0,4.0,2.14,30.0,25.64,0.12,0.83,0.0,0.77,69,0,1
2990,187.6,12.0,3.01,0.75,11.5,0.73,0.51,0.0,0.17,0.17,0,0,2
2991,189.55,0.0,4.52,1.05,30.0,15.27,0.06,0.33,0.0,0.91,144,0,2
2992,0.0,0.0,5.01,0.0,27.833000000000002,11.57,0.01,0.0,0.0,1.0,0,0,2
2993,0.0,0.0,3.9,0.0,28.666999999999998,14.18,0.0,0.0,0.0,0.79,0,0,2
2994,0.0,0.0,4.99,0.0,19.0,7.79,0.0,0.0,0.0,1.0,0,0,1
2995,0.0,0.0,3.41,0.0,20.833000000000002,3.72,0.0,0.0,0.0,0.5,0,-1,1
2996,0.0,0.6,1.0,0.0,11.0,2.8,0.0,0.0,0.0,0.0,0,0,0
